filename,gender,text,text_lenght,duration
cv-valid-train/sample-000005.mp3,female,a shepherd may like to travel but he should never forget about his sheep,72,5.832
cv-valid-train/sample-000341.mp3,female,the turf and gravel around it seemed charred as if by a sudden explosion,72,5.04
cv-valid-train/sample-000368.mp3,female,they're only made of rock crystal and there are millions of rock crystals in the earth,86,5.208
cv-valid-train/sample-000443.mp3,female,well what good would it be to you if you had t die the alchemist answered,73,5.592
cv-valid-train/sample-000586.mp3,female,a thin circle of bright metal showed between the top and the body of the cylinder,81,5.712
cv-valid-train/sample-000619.mp3,female,but it is not a class that was requested by our alumni or prospective students,78,5.544
cv-valid-train/sample-000762.mp3,female,the caravans had been stopped at giza for some time waiting for the wars to end,79,5.304
cv-valid-train/sample-000851.mp3,female,the alchemist erased the circle in the sand and the snake slithered away among the rocks,88,5.856
cv-valid-train/sample-000867.mp3,female,and the sand and gravel had been flung violently in every direction,67,5.112
cv-valid-train/sample-000887.mp3,female,we're refugees from the tribal wars and we need money the other figure said,75,4.92
cv-valid-train/sample-000947.mp3,female,i'm an alchemist simply because i'm an alchemist he said as he prepared the meal,80,5.736
cv-valid-train/sample-001283.mp3,female,the boy mumbled an answer that allowed him to avoid responding to her question,78,5.904
cv-valid-train/sample-001750.mp3,female,i didn't come here to have you read my palm he said already regretting having come,82,5.328
cv-valid-train/sample-001812.mp3,female,you should see the other guy specifically how good at fighting he is,68,5.232
cv-valid-train/sample-001927.mp3,female,i just don't trust anyone who says they've never had hamburger helper,69,5.592
cv-valid-train/sample-001963.mp3,female,with this kind of organization i find it's much easier to prioritize within a category,86,5.448
cv-valid-train/sample-002814.mp3,female,upon returning to the wise man he related in detail everything he had seen,74,5.544
cv-valid-train/sample-002963.mp3,female,the two men hurried back and found the cylinder still lying in the same position,80,5.856
cv-valid-train/sample-002996.mp3,female,some of the presented conclusions are not supported by the reported results,75,5.496
cv-valid-train/sample-003053.mp3,female,i was wondering if you could tell me a bit more about what it's like to live and work there,91,5.424
cv-valid-train/sample-003054.mp3,female,did you see the garden that it took the master gardener ten years to create,75,5.304
cv-valid-train/sample-003122.mp3,female,we have recovered most of the deleted files but some are still being processed,78,5.52
cv-valid-train/sample-003308.mp3,female,maybe these desert birds could explain to him the meaning of love without ownership,83,5.544
cv-valid-train/sample-003385.mp3,female,the heather was on fire and you could see a thin blue smoke rising up slowly,76,6.0
cv-valid-train/sample-003827.mp3,female,the review of related methods is simple to understand and informative,69,5.616
cv-valid-train/sample-003881.mp3,female,reality was permanently scarred from those force field experiments,66,5.04
cv-valid-train/sample-004045.mp3,female,it may be the gases of the firing that caused the martians inconvenience,72,5.904
cv-valid-train/sample-004069.mp3,female,looking through the telescope i saw a circle of deep blue and the little round planet,85,5.4
cv-valid-train/sample-004104.mp3,female,you should see the other guy specifically how good at fighting he is,68,5.424
cv-valid-train/sample-004108.mp3,female,he tried again to concentrate on the pink shades of the desert and its stones,77,5.064
cv-valid-train/sample-004129.mp3,female,henderson went into the railway station to telegraph the news to london,71,5.64
cv-valid-train/sample-004211.mp3,female,you should see the other guy specifically how good at fighting he is,68,5.808
cv-valid-train/sample-004371.mp3,female,but it is not a class that was requested by our alumni or prospective students,78,5.952
cv-valid-train/sample-004613.mp3,female,looking around he sought his sheep and then realized that he was in a new world,79,5.784
cv-valid-train/sample-004644.mp3,female,it was only when i got this close to it that the strangeness of it was at all evident to me,91,5.832
cv-valid-train/sample-004731.mp3,female,he heard a muffled grating sound and saw the black mark jerk forward an inch or so,82,5.112
cv-valid-train/sample-004845.mp3,female,i'm just a man who wanders the desert and knows the stars said the alchemist,76,5.904
cv-valid-train/sample-005381.mp3,female,unfortunately i haven't found a way to seamlessly integrate this into my vocabulary,83,5.544
cv-valid-train/sample-005603.mp3,female,a thin circle of bright metal showed between the top and the body of the cylinder,81,5.616
cv-valid-train/sample-005700.mp3,female,but the king of salem hoped desperately that the boy would be successful,72,5.16
cv-valid-train/sample-006021.mp3,female,when my only child was  she said something that really pissed me off,68,5.304
